15/10/2019,21/10/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
08/10/2019,14/10/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
01/10/2019,07/10/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
22/05/2019,31/05/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
15/05/2019,21/05/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
08/05/2019,14/05/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
01/05/2019,07/05/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
22/04/2019,30/04/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
15/04/2019,21/04/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
08/04/2019,14/04/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
01/04/2019,07/04/2019,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
01/01/2022,31/01/2022,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started
22/01/2021,31/01/2021,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started,started
15/01/2021,21/01/2021,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started,started
08/01/2021,14/01/2021,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started,started
01/01/2021,07/01/2021,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started,started
22/09/2020,30/09/2020,r6,,,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1,started,started
