time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220119142937,01/01/2021,31/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220119201729,01/09/2020,30/09/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220120061536,01/08/2020,31/08/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220121002643,01/08/2020,31/08/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220127133636,01/07/2020,31/07/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220128013332,01/06/2020,30/06/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220128133447,01/03/2020,31/03/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220129163144,01/02/2020,28/02/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220129224006,01/01/2020,31/01/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220130051952,01/12/2019,31/12/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220130114414,01/11/2019,30/11/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220208164435,22/01/2021,31/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
